NAME:PART1
SOURCE: 1FEAC25
time,value_in_meters
2023-10-05 09:05:48+00:00,-0.23499999999999988
2023-10-05 08:05:48+00:00,-0.23499999999999988
2023-10-05 07:05:48+00:00,-0.23499999999999988
2023-10-05 06:05:48+00:00,-0.23499999999999988
2023-10-05 05:05:48+00:00,-0.23499999999999988
2023-10-05 04:05:48+00:00,-0.23499999999999988
2023-10-05 03:05:48+00:00,-0.23499999999999988
2023-10-05 02:05:48+00:00,-0.23499999999999988
2023-10-05 01:05:48+00:00,-0.23499999999999988
2023-10-05 00:05:48+00:00,-0.23499999999999988
2023-10-04 23:05:48+00:00,-0.23499999999999988
2023-10-04 22:05:48+00:00,-0.23499999999999988
2023-10-04 21:05:48+00:00,-0.23499999999999988
2023-10-04 20:05:48+00:00,-0.23499999999999988
2023-10-04 19:05:48+00:00,-0.23499999999999988
2023-10-04 18:05:48+00:00,-0.23499999999999988
2023-10-04 17:05:48+00:00,-0.23499999999999988
2023-10-04 16:05:48+00:00,-0.23499999999999988
2023-10-04 15:05:48+00:00,-0.23499999999999988
2023-10-04 14:05:48+00:00,-0.23499999999999988
2023-10-04 13:05:48+00:00,-0.23499999999999988
2023-10-04 12:05:48+00:00,-0.23499999999999988
2023-10-04 11:05:48+00:00,-0.23499999999999988
2023-10-04 10:05:48+00:00,-0.23499999999999988
2023-10-04 09:05:48+00:00,-0.23499999999999988
2023-10-04 08:05:48+00:00,-0.23499999999999988
2023-10-04 07:05:48+00:00,-0.23499999999999988
2023-10-04 06:05:48+00:00,-0.23499999999999988
2023-10-04 05:05:49+00:00,-0.23499999999999988
2023-10-04 04:05:48+00:00,-0.23499999999999988
2023-10-04 03:05:48+00:00,-0.23499999999999988
2023-10-04 02:05:48+00:00,-0.23499999999999988
2023-10-04 01:05:48+00:00,-0.23499999999999988
2023-10-04 00:05:48+00:00,-0.23499999999999988
2023-10-03 23:05:48+00:00,-0.23499999999999988
2023-10-03 22:05:48+00:00,-0.23499999999999988
2023-10-03 21:05:48+00:00,-0.23499999999999988
2023-10-03 20:05:48+00:00,-0.23499999999999988
2023-10-03 19:05:48+00:00,-0.23499999999999988
2023-10-03 18:05:48+00:00,-0.23499999999999988
2023-10-03 17:05:48+00:00,-0.23499999999999988
2023-10-03 16:05:48+00:00,-0.23499999999999988
2023-10-03 15:05:48+00:00,-0.23499999999999988
2023-10-03 14:05:48+00:00,-0.23499999999999988
2023-10-03 13:05:48+00:00,-0.23499999999999988
2023-10-03 12:05:48+00:00,-0.23499999999999988
2023-10-03 11:05:48+00:00,-0.23499999999999988
2023-10-03 10:05:48+00:00,-0.23499999999999988
2023-10-03 09:05:48+00:00,-0.23499999999999988
2023-10-03 08:05:48+00:00,-0.23499999999999988
2023-10-03 07:05:48+00:00,-0.23499999999999988
2023-10-03 06:05:48+00:00,-0.23499999999999988
2023-10-03 05:05:48+00:00,-0.23499999999999988
2023-10-03 04:05:48+00:00,-0.23499999999999988
2023-10-03 03:05:48+00:00,-0.23499999999999988
2023-10-03 02:05:48+00:00,-0.23499999999999988
2023-10-03 01:05:48+00:00,-0.23499999999999988
2023-10-03 00:05:48+00:00,-0.23499999999999988
2023-10-02 23:05:48+00:00,-0.23499999999999988
2023-10-02 22:05:48+00:00,-0.23499999999999988
2023-10-02 21:05:48+00:00,-0.23499999999999988
2023-10-02 20:05:48+00:00,-0.23499999999999988
2023-10-02 19:05:48+00:00,-0.23499999999999988
2023-10-02 18:05:48+00:00,-0.23499999999999988
2023-10-02 17:05:48+00:00,-0.23499999999999988
2023-10-02 16:05:48+00:00,-0.23499999999999988
2023-10-02 15:05:48+00:00,-0.23499999999999988
2023-10-02 14:05:48+00:00,-0.23499999999999988
2023-10-02 13:05:48+00:00,-0.23499999999999988
2023-10-02 12:05:48+00:00,-0.23499999999999988
2023-10-02 11:05:48+00:00,-0.23499999999999988
2023-10-02 10:05:48+00:00,-0.23499999999999988
2023-10-02 09:06:57+00:00,-0.23499999999999988
2023-10-02 08:06:57+00:00,-0.23499999999999988
2023-10-02 07:06:57+00:00,-0.23499999999999988
2023-10-02 06:06:57+00:00,-0.23499999999999988
2023-10-02 05:06:57+00:00,-0.23499999999999988
2023-10-02 04:06:57+00:00,-0.23499999999999988
2023-10-02 03:06:57+00:00,-0.23499999999999988
2023-10-02 02:06:57+00:00,-0.23499999999999988
2023-10-02 01:06:57+00:00,-0.23499999999999988
2023-10-02 00:06:57+00:00,-0.23499999999999988
2023-10-01 23:06:57+00:00,-0.23499999999999988
2023-10-01 22:06:57+00:00,-0.23499999999999988
2023-10-01 21:06:57+00:00,-0.23499999999999988
2023-10-01 20:06:57+00:00,-0.23499999999999988
2023-10-01 19:06:57+00:00,-0.23499999999999988
2023-10-01 18:06:57+00:00,-0.23499999999999988
2023-10-01 17:06:57+00:00,-0.23499999999999988
2023-10-01 16:06:57+00:00,-0.23499999999999988
2023-10-01 15:06:57+00:00,-0.23499999999999988
2023-10-01 14:06:57+00:00,-0.23499999999999988
2023-10-01 13:06:57+00:00,-0.23499999999999988
2023-10-01 12:06:57+00:00,-0.23499999999999988
2023-10-01 11:06:57+00:00,-0.23499999999999988
2023-10-01 10:06:57+00:00,-0.23499999999999988
2023-10-01 09:06:57+00:00,-0.23499999999999988
2023-10-01 08:06:57+00:00,-0.23499999999999988
2023-10-01 07:06:57+00:00,-0.23499999999999988
2023-10-01 06:06:57+00:00,-0.23499999999999988
2023-10-01 05:06:57+00:00,-0.23499999999999988
2023-10-01 04:06:57+00:00,-0.23499999999999988
2023-10-01 03:06:57+00:00,-0.23499999999999988
2023-10-01 02:06:57+00:00,-0.23499999999999988
2023-10-01 01:06:57+00:00,-0.23499999999999988
2023-10-01 00:06:57+00:00,-0.23499999999999988
2023-09-30 23:06:57+00:00,-0.23499999999999988
2023-09-30 22:06:57+00:00,-0.23499999999999988
2023-09-30 21:06:57+00:00,-0.23499999999999988
2023-09-30 20:06:57+00:00,-0.23499999999999988
2023-09-30 19:06:57+00:00,-0.23499999999999988
2023-09-30 18:06:57+00:00,-0.23499999999999988
2023-09-30 17:06:57+00:00,-0.23499999999999988
2023-09-30 16:06:57+00:00,-0.23499999999999988
2023-09-30 15:06:57+00:00,-0.23499999999999988
2023-09-30 14:06:57+00:00,-0.23499999999999988
2023-09-30 13:06:57+00:00,-0.23499999999999988
2023-09-30 12:06:57+00:00,-0.23499999999999988
2023-09-30 11:06:57+00:00,-0.23499999999999988
2023-09-30 10:06:57+00:00,-0.23499999999999988
2023-09-30 09:06:57+00:00,-0.23499999999999988
2023-09-30 08:06:57+00:00,-0.23499999999999988
